year,month,Kinneret_Level_end_of_month,tmp_air_max,rain_mm,tmp_air_min,sns_drt,rain_day,Date,Change_from_last_month
1989,8,-211.73,31.819556451612907,0.0,19.646317204301074,721.3548387096774,0,1989-08-01,-0.39999999999997726
1989,9,-212.04,30.916666666666668,23.0,18.26574074074074,614.4,2,1989-09-01,-0.3100000000000023
1989,10,-212.35,26.54388888888889,653.513524436156,14.432962962962966,497.0,13,1989-10-01,-0.3100000000000023
1989,11,-212.38,22.17030651340997,1254.8988033874143,12.193678160919543,408.62068965517244,16,1989-11-01,-0.030000000000001137
1989,12,-212.25,16.76110056925996,938.0799061135715,7.282258064516129,338.1290322580645,18,1989-12-01,0.12999999999999545
1990,1,-212.05,13.735220324689015,1346.9279514034795,5.796626607632301,241.16129032258064,27,1990-01-01,0.19999999999998863
1990,2,-211.78,15.00595238095238,1605.171054340287,5.914309056956116,388.2857142857143,23,1990-02-01,0.27000000000001023
1990,3,-211.49,18.846990301496948,890.5596104461309,7.864740143369176,464.7096774193548,14,1990-03-01,0.28999999999999204
1990,4,-211.35,23.51386710239652,401.9753958336433,10.673613834422657,527.8,8,1990-04-01,0.14000000000001478
1990,5,-211.42,27.036675100147583,46.07587581500625,13.403680423782417,683.2258064516129,4,1990-05-01,-0.06999999999999318
1990,6,-211.62,30.122156862745097,0.0,16.6920697167756,762.8,0,1990-06-01,-0.20000000000001705
1990,7,-212.01,31.66140891840607,0.0,19.14102229601518,739.3548387096774,0,1990-07-01,-0.38999999999998636
